 206  2461  3 8 6 4 7 2 5 1 9 0 E T   69
 207  2473  8 3 4 6 2 7 1 5 0 9 T E   -
 208  2485  3 8 6 4 2 1 7 5 9 0 E T   58
 209  2497  8 3 4 6 1 2 5 7 0 9 T E   -
 210  2509  8 4 3 6 2 1 5 0 7 T 9 E   47
 211  2521  4 8 6 3 1 2 0 5 T 7 E 9   -
 212  2533  8 4 6 1 3 2 5 0 7 T 9 E   36
 213  2545  4 8 1 6 2 3 0 5 T 7 E 9   -
 214  2557  4 8 6 1 2 0 3 T 5 E 7 9   25
 215  2569  8 4 1 6 0 2 T 3 E 5 9 7   -
 216  2581  8 1 4 6 2 0 3 T 5 E 7 9   4
 217  2593  1 8 6 4 0 2 T 3 E 5 9 7   -
 218  2605  8 1 6 0 4 T 2 E 3 9 5 7   3
 219  2617  1 8 0 6 T 4 E 2 9 3 7 5   -
 220  2629  1 8 6 0 4 T 2 E 3 9 5 7   2
 221  2641  8 1 0 6 T 4 E 2 9 3 7 5   -
 222  2653  1 8 0 T 6 E 4 9 2 7 3 5   3
 223  2665  8 1 T 0 E 6 9 4 7 2 5 3   -
 224  2677  8 T 1 0 6 E 4 9 2 7 3 5   4
 225  2689  T 8 0 1 E 6 9 4 7 2 5 3   -
 226  2701  T 8 1 0 E 9 6 7 4 5 2 3   25
 227  2713  8 T 0 1 9 E 7 6 5 4 3 2   -
 228  2725  T 8 0 9 1 E 6 7 4 5 2 3   36
 229  2737  8 T 9 0 E 1 7 6 5 4 3 2   -
 230  2749  8 9 T 0 1 E 7 5 6 3 4 2   47
 231  2761  9 8 0 T E 1 5 7 3 6 2 4   -
 232  2773  8 9 T 0 E 5 1 7 6 3 4 2   58
 233  2785  9 8 0 T 5 E 7 1 3 6 2 4   -
 234  2797  9 0 8 5 T E 1 7 3 2 6 4   69
 235  2809  0 9 5 8 E T 7 1 2 3 4 6   -
 236  2821  9 0 8 5 T E 7 2 1 3 6 4   70
 237  2833  0 9 5 8 E T 2 7 3 1 4 6   -
 238  2845  0 5 9 E 8 2 T 7 1 3 6 4   8
 239  2857  5 0 E 9 2 8 7 T 3 1 4 6   -
 240  2869  0 5 9 E 8 2 T 7 3 4 1 6   9
 241  2881  5 0 E 9 2 8 7 T 4 3 6 1   -
 242  2893  5 E 0 2 9 7 8 4 T 3 1 6   0
 243  2905  E 5 2 0 7 9 4 8 3 T 6 1   -
 244  2917  5 E 0 2 9 7 8 4 T 3 6 1   E
 245  2929  E 5 2 0 7 9 4 8 3 T 1 6   -
 246  2941  E 2 5 7 0 4 9 3 8 T 6 1   0
 247  2953  2 E 7 5 4 0 3 9 T 8 1 6   -
 248  2965  E 2 5 7 0 4 9 3 T 1 8 6   9
 249  2977  2 E 7 5 4 0 3 9 1 T 6 8   -
 250  2989  2 7 E 4 5 3 0 9 T 1 8 6   8
 251  3001  7 2 4 E 3 5 9 0 1 T 6 8   -
 252  3013  2 7 E 4 5 3 9 1 0 T 8 6   70
 253  3025  7 2 4 E 3 5 1 9 T 0 6 8   -
 254  3037  7 4 2 3 E 5 9 1 T 6 0 8   69
 255  3049  4 7 3 2 5 E 1 9 6 T 8 0   -
 256  3061  7 4 2 3 5 1 E 9 T 6 0 8   58
 257  3073  4 7 3 2 1 5 9 E 6 T 8 0   -
 258  3085  4 3 7 2 5 1 9 6 E 8 T 0   47
 259  3097  3 4 2 7 1 5 6 9 8 E 0 T   -
 260  3109  4 3 2 1 7 5 9 6 E 8 T 0   36
 261  3121  3 4 1 2 5 7 6 9 8 E 0 T   -
 262  3133  3 4 2 1 5 6 7 8 9 0 E T   25
 263  3145  4 3 1 2 6 5 8 7 0 9 T E   -
 264  3157  4 1 3 2 5 6 7 8 9 0 E T   4
 265  3169  1 4 2 3 6 5 8 7 0 9 T E   -
 266  3181  4 1 2 6 3 8 5 0 7 T 9 E   3
 267  3193  1 4 6 2 8 3 0 5 T 7 E 9   -
 268  3205  1 4 2 6 3 8 5 0 7 T 9 E   2
 269  3217  4 1 6 2 8 3 0 5 T 7 E 9   -
 270  3229  1 4 6 8 2 0 3 T 5 E 7 9   3
 271  3241  4 1 8 6 0 2 T 3 E 5 9 7   -
 272  3253  4 8 1 6 2 0 3 T 5 E 7 9   4
 273  3265  8 4 6 1 0 2 T 3 E 5 9 7   -
 274  3277  8 4 1 6 0 T 2 E 3 9 5 7   25
 275  3289  4 8 6 1 T 0 E 2 9 3 7 5   -
 276  3301  8 4 6 T 1 0 2 E 3 9 5 7   36
 277  3313  4 8 T 6 0 1 E 2 9 3 7 5   -
 278  3325  4 T 8 6 1 0 E 9 2 7 3 5   47
 279  3337  T 4 6 8 0 1 9 E 7 2 5 3   -
 280  3349  4 T 8 6 0 9 1 E 2 7 3 5   58
 281  3361  T 4 6 8 9 0 E 1 7 2 5 3   -
 282  3373  T 6 4 9 8 0 1 E 7 5 2 3   69
 283  3385  6 T 9 4 0 8 E 1 5 7 3 2   -
 284  3397  T 6 4 9 8 0 E 5 1 7 2 3   70
 285  3409  6 T 9 4 0 8 5 E 7 1 3 2   -
 286  3421  6 9 T 0 4 5 8 E 1 7 2 3   8
 287  3433  9 6 0 T 5 4 E 8 7 1 3 2   -
 288  3445  6 9 T 0 4 5 8 E 7 3 1 2   9
 289  3457  9 6 0 T 5 4 E 8 3 7 2 1   -
 290  3469  9 0 6 5 T E 4 3 8 7 1 2   0
 291  3481  0 9 5 6 E T 3 4 7 8 2 1   -
 292  3493  9 0 6 5 T E 4 3 8 7 2 1   E
 293  3505  0 9 5 6 E T 3 4 7 8 1 2   -
 294  3517  0 5 9 E 6 3 T 7 4 8 2 1   0
 295  3529  5 0 E 9 3 6 7 T 8 4 1 2   -
 296  3541  0 5 9 E 6 3 T 7 8 1 4 2   9
 297  3553  5 0 E 9 3 6 7 T 1 8 2 4   -
 298  3565  5 E 0 3 9 7 6 T 8 1 4 2   8
 299  3577  E 5 3 0 7 9 T 6 1 8 2 4   -
 300  3589  5 E 0 3 9 7 T 1 6 8 4 2   70
 301  3601  E 5 3 0 7 9 1 T 8 6 2 4   -
 302  3613  E 3 5 7 0 9 T 1 8 2 6 4   69
 303  3625  3 E 7 5 9 0 1 T 2 8 4 6   -
 304  3637  E 3 5 7 9 1 0 T 8 2 6 4   58
 305  3649  3 E 7 5 1 9 T 0 2 8 4 6   -
 306  3661  3 7 E 5 9 1 T 2 0 4 8 6   47
 307  3673  7 3 5 E 1 9 2 T 4 0 6 8   -
 308  3685  3 7 5 1 E 9 T 2 0 4 8 6   36
 309  3697  7 3 1 5 9 E 2 T 4 0 6 8   -
