 286  3421  0 T 8 E 6 9 4 7 2 5 1 3   8
 287  3433  T 0 E 8 9 6 7 4 5 2 3 1   -
 288  3445  T E 0 9 8 7 6 5 4 3 2 1   1
 289  3457  E T 9 0 7 8 5 6 3 4 1 2   -
 290  3469  E 9 T 7 0 5 8 3 6 1 4 2   1
 291  3481  9 E 7 T 5 0 3 8 1 6 2 4   -
 292  3493  9 7 E 5 T 3 0 1 8 2 6 4   1
 293  3505  7 9 5 E 3 T 1 0 2 8 4 6   -
 294  3517  7 5 9 3 E 1 T 2 0 4 8 6   1
 295  3529  5 7 3 9 1 E 2 T 4 0 6 8   -
 296  3541  5 3 7 1 9 2 E 4 T 6 0 8   1
 297  3553  3 5 1 7 2 9 4 E 6 T 8 0   -
 298  3565  3 1 5 2 7 4 9 6 E 8 T 0   1
 299  3577  1 3 2 5 4 7 6 9 8 E 0 T   -
 300  3589  1 2 3 4 5 6 7 8 9 0 E T   1
 301  3601  1 2 3 4 5 6 7 8 9 0 E T   =
 302  3613  1 2 3 4 5 6 7 8 9 0 E T   =
