 293  3505  5 2 3 9 1 7 4 E 6 T 8 0   -
 294  3517  2 5 3 1 9 7 E 4 T 6 0 8   36
 295  3529  5 2 1 3 7 9 4 E 6 T 8 0   -
 296  3541  5 2 3 1 7 4 9 6 E 8 T 0   25
 297  3553  2 5 1 3 4 7 6 9 8 E 0 T   -
 298  3565  2 1 5 3 7 4 9 6 E 8 T 0   4
 299  3577  1 2 3 5 4 7 6 9 8 E 0 T   -
 300  3589  2 1 3 4 5 6 7 8 9 0 E T   3
 301  3601  1 2 4 3 6 5 8 7 0 9 T E   -
 302  3613  1 2 3 4 5 6 7 8 9 0 E T   2
 303  3625  1 2 3 4 5 6 7 8 9 0 E T   =
 304  3637  1 2 3 4 5 6 7 8 9 0 E T   =
