Bell No,Actual Time,Ideal time from medium response Kalman Filter
5,230340,230343
12,230750,230763
2,230870,230963
6,231140,231163
8,231360,231363
9,231570,231563
3,231750,231763
10,231980,231963
4,232120,232163
7,232390,232363
11,232570,232563
5,232720,232762
1,232990,232962
12,233160,233162
6,233350,233362
2,233590,233562
9,233760,233762
8,233970,233962
10,234190,234162
3,234380,234362
7,234530,234562
4,234740,234761
11,234960,234961
1,235190,235161
5,235340,235361
6,235780,235794
12,235960,235993
9,236180,236193
2,236440,236393
10,236640,236592
8,236780,236792
7,236970,236992
3,237190,237191
11,237400,237391
4,237540,237591
5,237760,237790
1,238030,237990
12,238180,238189
6,238400,238389
2,238580,238589
9,238810,238788
8,238980,238988
10,239220,239188
3,239460,239387
7,239560,239587
4,239770,239787
11,239950,239986
5,240150,240186
1,240410,240386
6,240810,240825
12,241010,241027
9,241250,241228
2,241460,241430
10,241670,241631
8,241850,241832
7,242030,242034
3,242280,242235
11,242410,242436
4,242560,242638
1,242850,242839
5,243010,243040
6,243190,243242
9,243440,243443
12,243660,243644
10,243870,243846
2,244030,244047
7,244260,244249
8,244440,244450
11,244690,244651
3,244860,244853
4,245050,245054
5,245230,245255
1,245500,245457
9,245850,245879
6,246040,246080
10,246260,246281
12,246450,246482
7,246690,246683
2,246900,246885
11,247100,247086
8,247240,247287
4,247490,247488
3,247700,247689
1,247950,247890
5,248090,248091
6,248300,248293
9,248480,248494
12,248690,248695
10,248890,248896
2,249090,249097
7,249290,249298
8,249490,249499
11,249690,249701
4,249880,249902
1,250140,250103
3,250330,250304
5,250490,250505
9,250900,250928
6,251100,251130
10,251340,251332
12,251520,251534
7,251730,251736
2,251950,251938
11,252140,252140
8,252360,252342
1,252600,252544
4,252750,252746
5,252950,252948
3,253160,253150
9,253290,253352
10,253490,253554
6,253710,253756
7,253930,253958
12,254120,254160
11,254360,254362
2,254540,254564
8,254760,254766
4,254990,254968
1,255230,255171
3,255440,255373
5,255590,255575
10,255920,255976
9,256120,256177
7,256360,256379
6,256560,256580
11,256740,256782
12,256950,256983
8,257160,257185
2,257370,257386
1,257640,257588
4,257810,257789
5,258020,257991
3,258220,258192
9,258340,258393
10,258580,258595
6,258780,258796
7,258990,258998
12,259180,259199
11,259380,259401
8,259600,259602
1,259840,259804
2,260030,260005
4,260210,260207
3,260420,260408
5,260610,260610
10,261020,261023
9,261200,261224
7,261410,261425
6,261640,261626
11,261810,261827
12,262010,262028
1,262300,262229
8,262470,262430
4,262570,262631
2,262800,262832
5,263010,263033
3,263210,263234
10,263430,263435
7,263640,263636
9,263820,263836
11,264040,264037
6,264240,264238
12,264470,264439
8,264650,264640
1,264850,264841
4,265030,265042
5,265230,265243
2,265450,265444
3,265660,265645
7,266080,266074
10,266300,266276
11,266480,266477
9,266650,266679
12,266840,266880
6,267100,267082
1,267380,267283
8,267500,267485
5,267720,267686
4,267890,267888
3,268090,268089
2,268270,268291
10,268450,268492
7,268680,268694
9,268870,268895
11,269050,269097
12,269300,269298
1,269550,269500
6,269710,269701
8,269910,269903
4,270120,270104
5,270330,270306
2,270510,270507
3,270670,270709
7,271140,271123
10,271310,271324
11,271480,271526
9,271680,271727
1,271970,271928
12,272120,272129
8,272320,272330
6,272550,272532
5,272770,272733
4,272950,272934
3,273130,273135
2,273310,273336
7,273540,273537
11,273700,273739
10,273910,273940
9,274120,274141
12,274340,274342
1,274580,274543
8,274760,274745
5,274930,274946
6,275140,275147
3,275360,275348
4,275540,275549
2,275780,275751
11,276150,276169
7,276370,276370
9,276570,276571
10,276760,276773
1,277030,276974
12,277140,277175
5,277350,277377
8,277600,277578
3,277810,277779
6,277980,277981
2,278210,278182
4,278360,278384
7,278540,278585
11,278790,278786
9,278990,278988
1,279190,279189
10,279420,279390
12,279570,279592
8,279770,279793
5,279970,279994
6,280150,280196
3,280400,280397
4,280630,280598
2,280850,280800
11,281190,281223
7,281420,281425
1,281670,281627
9,281810,281829
12,282000,282031
10,282290,282233
5,282460,282435
8,282620,282637
3,282860,282839
6,283050,283041
2,283280,283243
4,283440,283445
11,283620,283647
7,283810,283849
9,284030,284051
1,284260,284253
12,284470,284455
5,284660,284657
10,284860,284859
3,285080,285061
8,285250,285263
2,285460,285465
6,285630,285667
4,285910,285869
7,286270,286287
11,286470,286489
1,286740,286691
9,286860,286893
5,287090,287094
12,287310,287296
